epsilon,n,min_val,max_val,noise_mean,mae,mse,rmse,mre
0.1,55500.0,0.0,2147483647.0,-858893409.2939934,21656060953.09457,1.0823141472250587e+21,32898543238.645973,14.271779152693806
0.25,55500.0,0.0,2147483647.0,-111759175.66877475,8605275593.573603,1.3938500452567356e+20,11806142660.736977,5.671049462113707
0.5,55500.0,0.0,2147483647.0,-771094195.3249099,3974395153.6607814,2.933576803352501e+19,5416250366.584341,2.619206236140462
1.0,55500.0,0.0,2147483647.0,-192203571.76008582,2382461468.6450744,1.0631300896905568e+19,3260567572.816973,1.5700899620642361
2.0,55500.0,0.0,2147483647.0,177350255.46125996,1206932480.874767,2.6980544929719557e+18,1642575566.8985083,0.7953927473960181
