epsilon,n,min_val,max_val,noise_mean,mae,mse,rmse,mre
0.1,8225871.0,0.0,9.223372036854776e+18,-2.3650768910725505e+19,7.808115159459576e+19,1.0612230424337734e+40,1.0301568047796285e+20,99860.8465717882
0.25,8225871.0,0.0,9.223372036854776e+18,5.672377059623176e+18,3.34299818234899e+19,1.9716617270569943e+39,4.4403397697214505e+19,42754.829015665426
0.5,8225871.0,0.0,9.223372036854776e+18,-4.89905255373621e+17,1.680639002119728e+19,5.681977914992377e+38,2.3836899787917844e+19,21494.30817883294
1.0,8225871.0,0.0,9.223372036854776e+18,-5.99874701904061e+17,8.224938631389905e+18,1.2790954532249606e+38,1.1309710222746472e+19,10519.175472668736
2.0,8225871.0,0.0,9.223372036854776e+18,-3.002779726366477e+17,4.917978071189154e+18,4.388908907930403e+37,6.624884080442768e+18,6289.782406903314
