epsilon,n,min_val,max_val,noise_mean,mae,mse,rmse,mre
0.1,6699.0,0.0,2147483647.0,7898087124.414663,24316056832.249462,1.2928093892016538e+21,35955658653.42552,27.866999903813994
0.25,6699.0,0.0,2147483647.0,-1462347504.8742821,7046182487.919769,1.0145590801072228e+20,10072532353.42147,8.075156595813535
0.5,6699.0,0.0,2147483647.0,-181738028.79775202,3944307458.116638,3.197229116240319e+19,5654404580.714329,4.520305916137345
1.0,6699.0,0.0,2147483647.0,-12119509.683194298,2644077462.096908,1.3364083884704524e+19,3655691984.386065,3.030199628593111
2.0,6699.0,0.0,2147483647.0,-221033593.9112156,1312880647.6496043,3.421656623330132e+18,1849772046.3154728,1.5046043498816013
