epsilon,beta,tau,n,min_val,max_val,quantile,clip_thresh,b,noise,actual_sum,estimated_sum
0.25,0.1,2820.282493097334,6699,0,2147483647,3878.717506902666,120289,1283082.6666666667,-1249948.5822942243,772575337.0,634421409.4177058
0.25,0.1,2820.282493097334,6699,0,2147483647,3878.717506902666,147488,1573205.3333333333,-3367433.6289969264,772575337.0,703470243.371003
0.25,0.1,2820.282493097334,6699,0,2147483647,3878.717506902666,133382,1422741.3333333333,-2438250.048152316,772575337.0,670827237.9518477
0.25,0.1,2820.282493097334,6699,0,2147483647,3878.717506902666,133245,1421280.0,1133582.073497215,772575337.0,674035528.0734972
0.25,0.1,2820.282493097334,6699,0,2147483647,3878.717506902666,139273,1485578.6666666667,821100.181359426,772575337.0,689289670.1813594
0.25,0.1,2820.282493097334,6699,0,2147483647,3878.717506902666,147968,1578325.3333333333,156114.83643201098,772575337.0,708023131.836432
0.25,0.1,2820.282493097334,6699,0,2147483647,3878.717506902666,112575,1200800.0,-263128.13799114054,772575337.0,609749143.8620088
0.25,0.1,2820.282493097334,6699,0,2147483647,3878.717506902666,98303,1048565.3333333334,-912720.6219995945,772575337.0,556721133.3780004
0.25,0.1,2820.282493097334,6699,0,2147483647,3878.717506902666,113527,1210954.6666666667,-121987.03091810326,772575337.0,613143723.9690819
0.25,0.1,2820.282493097334,6699,0,2147483647,3878.717506902666,129214,1378282.6666666667,5957195.2021699045,772575337.0,667927060.2021699
0.25,0.1,2820.282493097334,6699,0,2147483647,3878.717506902666,130137,1388128.0,2764032.3845222867,772575337.0,667380006.3845223
0.25,0.1,2820.282493097334,6699,0,2147483647,3878.717506902666,124843,1331658.6666666667,400309.19359945814,772575337.0,649643532.1935995
0.25,0.1,2820.282493097334,6699,0,2147483647,3878.717506902666,134146,1430890.6666666667,-1720233.9031922752,772575337.0,673572146.0968077
0.25,0.1,2820.282493097334,6699,0,2147483647,3878.717506902666,123335,1315573.3333333333,-1014271.0957874432,772575337.0,643751204.9042126
0.25,0.1,2820.282493097334,6699,0,2147483647,3878.717506902666,98271,1048224.0,154709.76144189408,772575337.0,557661683.761442
0.25,0.1,2820.282493097334,6699,0,2147483647,3878.717506902666,132332,1411541.3333333333,96582.75988349674,772575337.0,670573096.7598835
0.25,0.1,2820.282493097334,6699,0,2147483647,3878.717506902666,141504,1509376.0,-189063.8819903455,772575337.0,693486639.1180097
0.25,0.1,2820.282493097334,6699,0,2147483647,3878.717506902666,139536,1488384.0,-761489.7155999533,772575337.0,688373123.2844001
0.25,0.1,2820.282493097334,6699,0,2147483647,3878.717506902666,131076,1398144.0,4760200.826399323,772575337.0,671888905.8263993
0.25,0.1,2820.282493097334,6699,0,2147483647,3878.717506902666,129324,1379456.0,-384588.9547443866,772575337.0,661904276.0452557
0.25,0.1,2820.282493097334,6699,0,2147483647,3878.717506902666,139776,1490944.0,-5340285.097513595,772575337.0,684401767.9024864
0.25,0.1,2820.282493097334,6699,0,2147483647,3878.717506902666,135960,1450240.0,-379612.1288155712,772575337.0,679645783.8711845
0.25,0.1,2820.282493097334,6699,0,2147483647,3878.717506902666,4194304,44739242.666666664,-18445884.983488433,772575337.0,754129452.0165116
0.25,0.1,2820.282493097334,6699,0,2147483647,3878.717506902666,127547,1360501.3333333333,-2642420.416629894,772575337.0,654486561.5833701
0.25,0.1,2820.282493097334,6699,0,2147483647,3878.717506902666,124850,1331733.3333333333,-620915.9045694611,772575337.0,648643076.0954305
0.25,0.1,2820.282493097334,6699,0,2147483647,3878.717506902666,143368,1529258.6666666667,1865853.1935410853,772575337.0,699705046.193541
0.25,0.1,2820.282493097334,6699,0,2147483647,3878.717506902666,132635,1414773.3333333333,2776724.4902045103,772575337.0,674059548.4902045
0.25,0.1,2820.282493097334,6699,0,2147483647,3878.717506902666,133658,1425685.3333333333,51912.1016569229,772575337.0,674049628.1016569
0.25,0.1,2820.282493097334,6699,0,2147483647,3878.717506902666,120021,1280224.0,420094.90165856195,772575337.0,635288481.9016585
0.25,0.1,2820.282493097334,6699,0,2147483647,3878.717506902666,96253,1026698.6666666666,-2500538.04827659,772575337.0,547005065.9517235
0.25,0.1,2820.282493097334,6699,0,2147483647,3878.717506902666,122031,1301664.0,-60946.471846061446,772575337.0,640822493.5281539
0.25,0.1,2820.282493097334,6699,0,2147483647,3878.717506902666,121718,1298325.3333333333,-1555996.155275776,772575337.0,638392103.8447242
0.25,0.1,2820.282493097334,6699,0,2147483647,3878.717506902666,120555,1285920.0,-533035.8538684865,772575337.0,635934726.1461315
0.25,0.1,2820.282493097334,6699,0,2147483647,3878.717506902666,124275,1325600.0,521843.0412018513,772575337.0,648079810.0412018
0.25,0.1,2820.282493097334,6699,0,2147483647,3878.717506902666,135200,1442133.3333333333,-39053.51558130602,772575337.0,678032247.4844187
0.25,0.1,2820.282493097334,6699,0,2147483647,3878.717506902666,135196,1442090.6666666667,-619500.0252689632,772575337.0,677441504.9747311
0.25,0.1,2820.282493097334,6699,0,2147483647,3878.717506902666,129815,1384693.3333333333,959347.3984149073,772575337.0,664671983.3984149
0.25,0.1,2820.282493097334,6699,0,2147483647,3878.717506902666,121842,1299648.0,-5977996.794360293,772575337.0,634340739.2056397
0.25,0.1,2820.282493097334,6699,0,2147483647,3878.717506902666,125655,1340320.0,-1657983.7289304568,772575337.0,649961129.2710695
0.25,0.1,2820.282493097334,6699,0,2147483647,3878.717506902666,134684,1436629.3333333333,1771029.8863900816,772575337.0,678490435.8863901
0.25,0.1,2820.282493097334,6699,0,2147483647,3878.717506902666,124925,1332533.3333333333,-419872.1670042893,772575337.0,649066644.8329957
0.25,0.1,2820.282493097334,6699,0,2147483647,3878.717506902666,131392,1401514.6666666667,-799285.7556038513,772575337.0,667172507.2443961
0.25,0.1,2820.282493097334,6699,0,2147483647,3878.717506902666,130001,1386677.3333333333,2529949.8520330745,772575337.0,666781579.852033
0.25,0.1,2820.282493097334,6699,0,2147483647,3878.717506902666,127698,1362112.0,5987810.51071714,772575337.0,663555598.5107172
0.25,0.1,2820.282493097334,6699,0,2147483647,3878.717506902666,129831,1384864.0,872478.4007954694,772575337.0,664631498.4007955
0.25,0.1,2820.282493097334,6699,0,2147483647,3878.717506902666,121698,1298112.0,6989623.983899384,772575337.0,646877943.9838994
0.25,0.1,2820.282493097334,6699,0,2147483647,3878.717506902666,134164,1431082.6666666667,2222400.476993265,772575337.0,677562534.4769933
0.25,0.1,2820.282493097334,6699,0,2147483647,3878.717506902666,121791,1299104.0,1929325.9429371264,772575337.0,642095622.9429371
0.25,0.1,2820.282493097334,6699,0,2147483647,3878.717506902666,131760,1405440.0,-76138.2401497854,772575337.0,668876839.7598503
0.25,0.1,2820.282493097334,6699,0,2147483647,3878.717506902666,132768,1416192.0,1216511.9627575139,772575337.0,672852499.9627575
0.25,0.1,2820.282493097334,6699,0,2147483647,3878.717506902666,114300,1219200.0,635715.3064559893,772575337.0,616537362.306456
0.25,0.1,2820.282493097334,6699,0,2147483647,3878.717506902666,2097152,22369621.333333332,-30440973.983837876,772575337.0,742134363.0161622
0.25,0.1,2820.282493097334,6699,0,2147483647,3878.717506902666,147461,1572917.3333333333,-64927.06479511361,772575337.0,706714834.9352049
0.25,0.1,2820.282493097334,6699,0,2147483647,3878.717506902666,268435456,2863311530.6666665,-2733199827.9004,772575337.0,-1960624490.9004002
0.25,0.1,2820.282493097334,6699,0,2147483647,3878.717506902666,130724,1394389.3333333333,-3359134.040496457,772575337.0,662828226.9595035
0.25,0.1,2820.282493097334,6699,0,2147483647,3878.717506902666,119551,1275210.6666666667,1500495.3900819805,772575337.0,634832003.390082
0.25,0.1,2820.282493097334,6699,0,2147483647,3878.717506902666,123244,1314602.6666666667,-4054946.842379266,772575337.0,640439986.1576208
0.25,0.1,2820.282493097334,6699,0,2147483647,3878.717506902666,131583,1403552.0,-464049.1255551389,772575337.0,668017223.8744448
0.25,0.1,2820.282493097334,6699,0,2147483647,3878.717506902666,131398,1401578.6666666667,-782522.2044392551,772575337.0,667205278.7955607
0.25,0.1,2820.282493097334,6699,0,2147483647,3878.717506902666,139270,1485546.6666666667,-3274917.674287325,772575337.0,685186050.3257127
