epsilon,beta,tau,n,min_val,max_val,quantile,clip_thresh,b,noise,actual_sum,estimated_sum
0.25,0.001,5129.264172263325,6699,0,2147483647,1569.7358277366748,64756,690730.6666666666,2159966.4179852316,772575337.0,407958954.41798526
0.25,0.001,5129.264172263325,6699,0,2147483647,1569.7358277366748,68057,725941.3333333334,-857749.3277011954,772575337.0,421741884.6722988
0.25,0.001,5129.264172263325,6699,0,2147483647,1569.7358277366748,73768,786858.6666666666,1819105.7557874653,772575337.0,452537403.7557875
0.25,0.001,5129.264172263325,6699,0,2147483647,1569.7358277366748,63007,672074.6666666666,827799.333679034,772575337.0,397442834.333679
0.25,0.001,5129.264172263325,6699,0,2147483647,1569.7358277366748,60797,648501.3333333334,495239.9598245736,772575337.0,385490696.95982456
0.25,0.001,5129.264172263325,6699,0,2147483647,1569.7358277366748,63404,676309.3333333334,-162113.69029042235,772575337.0,398538362.30970955
0.25,0.001,5129.264172263325,6699,0,2147483647,1569.7358277366748,65563,699338.6666666666,-532478.8114063264,772575337.0,409407061.1885937
0.25,0.001,5129.264172263325,6699,0,2147483647,1569.7358277366748,73220,781013.3333333334,-102671.24585783874,772575337.0,447967526.75414217
0.25,0.001,5129.264172263325,6699,0,2147483647,1569.7358277366748,72972,778368.0,-1485197.5426388376,772575337.0,445385678.45736116
0.25,0.001,5129.264172263325,6699,0,2147483647,1569.7358277366748,63382,676074.6666666666,225796.76423751444,772575337.0,398810706.7642375
0.25,0.001,5129.264172263325,6699,0,2147483647,1569.7358277366748,63387,676128.0,-1139745.3112852485,772575337.0,397471429.68871474
0.25,0.001,5129.264172263325,6699,0,2147483647,1569.7358277366748,60875,649333.3333333334,-498791.3772584286,772575337.0,384907491.6227416
0.25,0.001,5129.264172263325,6699,0,2147483647,1569.7358277366748,67425,719200.0,-622887.3238639343,772575337.0,418769272.6761361
0.25,0.001,5129.264172263325,6699,0,2147483647,1569.7358277366748,57274,610922.6666666666,-106637.6541134413,772575337.0,365697664.3458866
0.25,0.001,5129.264172263325,6699,0,2147483647,1569.7358277366748,67719,722336.0,-74362.69201272985,772575337.0,420809978.3079873
0.25,0.001,5129.264172263325,6699,0,2147483647,1569.7358277366748,73810,787306.6666666666,-35529.66078246088,772575337.0,450885628.33921754
0.25,0.001,5129.264172263325,6699,0,2147483647,1569.7358277366748,70624,753322.6666666666,91948.9195084778,772575337.0,435579981.91950846
0.25,0.001,5129.264172263325,6699,0,2147483647,1569.7358277366748,65295,696480.0,-1326175.974918395,772575337.0,407251924.02508163
0.25,0.001,5129.264172263325,6699,0,2147483647,1569.7358277366748,62975,671733.3333333334,809840.3954694184,772575337.0,397256779.3954694
0.25,0.001,5129.264172263325,6699,0,2147483647,1569.7358277366748,63384,676096.0,-401601.397080293,772575337.0,398193814.6029197
0.25,0.001,5129.264172263325,6699,0,2147483647,1569.7358277366748,77841,830304.0,122696.23083610096,772575337.0,470087425.2308361
0.25,0.001,5129.264172263325,6699,0,2147483647,1569.7358277366748,69693,743392.0,409099.76676727616,772575337.0,431305211.76676726
0.25,0.001,5129.264172263325,6699,0,2147483647,1569.7358277366748,81921,873824.0,342781.11137595086,772575337.0,488933437.1113759
0.25,0.001,5129.264172263325,6699,0,2147483647,1569.7358277366748,61010,650773.3333333334,-332373.6404910114,772575337.0,385784874.359509
0.25,0.001,5129.264172263325,6699,0,2147483647,1569.7358277366748,66076,704810.6666666666,263339.8077438438,772575337.0,412807975.80774385
0.25,0.001,5129.264172263325,6699,0,2147483647,1569.7358277366748,69575,742133.3333333334,-563233.7894109932,772575337.0,429734736.210589
0.25,0.001,5129.264172263325,6699,0,2147483647,1569.7358277366748,53119,566602.6666666666,-1730485.718231546,772575337.0,340615009.28176844
0.25,0.001,5129.264172263325,6699,0,2147483647,1569.7358277366748,65508,698752.0,462348.98189636145,772575337.0,410122488.98189634
0.25,0.001,5129.264172263325,6699,0,2147483647,1569.7358277366748,60895,649546.6666666666,-6206951.21040044,772575337.0,379304671.78959954
0.25,0.001,5129.264172263325,6699,0,2147483647,1569.7358277366748,57339,611616.0,1116934.137392843,772575337.0,367279126.1373928
0.25,0.001,5129.264172263325,6699,0,2147483647,1569.7358277366748,63679,679242.6666666666,198656.29406771623,772575337.0,400343707.29406774
0.25,0.001,5129.264172263325,6699,0,2147483647,1569.7358277366748,70672,753834.6666666666,-42473.1006083877,772575337.0,435678887.8993916
0.25,0.001,5129.264172263325,6699,0,2147483647,1569.7358277366748,82048,875178.6666666666,236976.99195075987,772575337.0,489392655.99195075
0.25,0.001,5129.264172263325,6699,0,2147483647,1569.7358277366748,60272,642901.3333333334,-149385.26380616432,772575337.0,382080896.73619384
0.25,0.001,5129.264172263325,6699,0,2147483647,1569.7358277366748,67294,717802.6666666666,-733849.3062779773,772575337.0,417993354.693722
0.25,0.001,5129.264172263325,6699,0,2147483647,1569.7358277366748,62647,668234.6666666666,214051.65139242104,772575337.0,394937436.6513924
0.25,0.001,5129.264172263325,6699,0,2147483647,1569.7358277366748,32751,349344.0,-27779.789504246786,772575337.0,217730611.21049574
0.25,0.001,5129.264172263325,6699,0,2147483647,1569.7358277366748,64825,691466.6666666666,608589.1096557074,772575337.0,406769689.1096557
0.25,0.001,5129.264172263325,6699,0,2147483647,1569.7358277366748,65557,699274.6666666666,-303087.50275233743,772575337.0,409605972.49724764
0.25,0.001,5129.264172263325,6699,0,2147483647,1569.7358277366748,60670,647146.6666666666,349570.58994531166,772575337.0,384676118.5899453
0.25,0.001,5129.264172263325,6699,0,2147483647,1569.7358277366748,68218,727658.6666666666,684954.0060849201,772575337.0,424101502.0060849
0.25,0.001,5129.264172263325,6699,0,2147483647,1569.7358277366748,98304,1048576.0,140075.00229522938,772575337.0,557777894.0022953
0.25,0.001,5129.264172263325,6699,0,2147483647,1569.7358277366748,59167,631114.6666666666,-272632.1557892419,772575337.0,375945191.84421074
0.25,0.001,5129.264172263325,6699,0,2147483647,1569.7358277366748,61024,650922.6666666666,-833974.3079210992,772575337.0,385356899.6920789
0.25,0.001,5129.264172263325,6699,0,2147483647,1569.7358277366748,62836,670250.6666666666,-607229.8262445545,772575337.0,395109510.17375547
0.25,0.001,5129.264172263325,6699,0,2147483647,1569.7358277366748,74770,797546.6666666666,5013058.297178828,772575337.0,460566832.2971788
0.25,0.001,5129.264172263325,6699,0,2147483647,1569.7358277366748,72528,773632.0,-188263.7652772267,772575337.0,444535307.2347228
0.25,0.001,5129.264172263325,6699,0,2147483647,1569.7358277366748,59317,632714.6666666666,89708.93775223114,772575337.0,377132232.93775225
0.25,0.001,5129.264172263325,6699,0,2147483647,1569.7358277366748,48095,513013.3333333333,300369.91050887486,772575337.0,313036811.9105089
0.25,0.001,5129.264172263325,6699,0,2147483647,1569.7358277366748,63614,678549.3333333334,-612810.8956719408,772575337.0,399190795.10432804
0.25,0.001,5129.264172263325,6699,0,2147483647,1569.7358277366748,49143,524192.0,-467288.824510009,772575337.0,318583447.17548996
0.25,0.001,5129.264172263325,6699,0,2147483647,1569.7358277366748,68614,731882.6666666666,-13845.234805531185,772575337.0,425411861.7651945
0.25,0.001,5129.264172263325,6699,0,2147483647,1569.7358277366748,59911,639050.6666666666,447432.316569269,772575337.0,380755768.31656927
0.25,0.001,5129.264172263325,6699,0,2147483647,1569.7358277366748,52735,562506.6666666666,-757550.5536082055,772575337.0,339365056.4463918
0.25,0.001,5129.264172263325,6699,0,2147483647,1569.7358277366748,73920,788480.0,-677072.8747341915,772575337.0,450775335.12526584
0.25,0.001,5129.264172263325,6699,0,2147483647,1569.7358277366748,131072,1398101.3333333333,1210192.2218936395,772575337.0,668328225.2218937
0.25,0.001,5129.264172263325,6699,0,2147483647,1569.7358277366748,60399,644256.0,-255369.9280832708,772575337.0,382643821.0719167
0.25,0.001,5129.264172263325,6699,0,2147483647,1569.7358277366748,57338,611605.3333333334,2239186.767397512,772575337.0,368395872.7673975
0.25,0.001,5129.264172263325,6699,0,2147483647,1569.7358277366748,63615,678560.0,-470430.9888825668,772575337.0,399338428.01111746
0.25,0.001,5129.264172263325,6699,0,2147483647,1569.7358277366748,83984,895829.3333333334,-723481.8366416203,772575337.0,497040125.1633584
0.25,0.001,5129.264172263325,6699,0,2147483647,1569.7358277366748,61048,651178.6666666666,172820.20793004037,772575337.0,386489910.20793
0.25,0.001,5129.264172263325,6699,0,2147483647,1569.7358277366748,70661,753717.3333333334,-168939.96765027303,772575337.0,435498950.0323497
