epsilon,beta,tau,n,min_val,max_val,quantile,clip_thresh,b,noise,actual_sum,estimated_sum
0.1,0.1,16113.732091974176,8225871,0,9223372036854775807,8209757.2679080255,2475735809,66019621573.33332,-14429630147.97803,781899455983281,143123905220033.03
0.1,0.1,16113.732091974176,8225871,0,9223372036854775807,8209757.2679080255,3288336420,87688971199.99998,-8627471774.858831,781899455983281,153231168976038.16
0.1,0.1,16113.732091974176,8225871,0,9223372036854775807,8209757.2679080255,1835952735,48958739599.99999,-15645982625.524326,781899455983281,133253600801867.47
0.1,0.1,16113.732091974176,8225871,0,9223372036854775807,8209757.2679080255,2257458017,60198880453.33332,38035462094.72012,781899455983281,140057809149214.72
0.1,0.1,16113.732091974176,8225871,0,9223372036854775807,8209757.2679080255,2290097161,61069257626.66666,107969982264.28,781899455983281,140608553571359.28
0.1,0.1,16113.732091974176,8225871,0,9223372036854775807,8209757.2679080255,1912430518,50998147146.66666,51406524315.61672,781899455983281,134629504894647.61
0.1,0.1,16113.732091974176,8225871,0,9223372036854775807,8209757.2679080255,2114085701,56375618693.33333,102334621106.47974,781899455983281,137943604349229.48
0.1,0.1,16113.732091974176,8225871,0,9223372036854775807,8209757.2679080255,3221489697,85906391919.99998,-110022995385.08456,781899455983281,152371517113530.9
0.1,0.1,16113.732091974176,8225871,0,9223372036854775807,8209757.2679080255,2004954991,53465466426.66666,13242927726.430513,781899455983281,136118652089518.44
0.1,0.1,16113.732091974176,8225871,0,9223372036854775807,8209757.2679080255,2443331073,65155495279.99999,-95648592931.1832,781899455983281,142593222648999.8
0.1,0.1,16113.732091974176,8225871,0,9223372036854775807,8209757.2679080255,2058547669,54894604506.66666,-53764976593.98961,781899455983281,136912601899916.02
0.1,0.1,16113.732091974176,8225871,0,9223372036854775807,8209757.2679080255,1895823924,50555304639.99999,56267971887.02785,781899455983281,134353955538342.03
0.1,0.1,16113.732091974176,8225871,0,9223372036854775807,8209757.2679080255,2487226565,66326041733.33332,84805575329.78247,781899455983281,143381485904394.78
0.1,0.1,16113.732091974176,8225871,0,9223372036854775807,8209757.2679080255,2701246626,72033243359.99998,-14714315944.957687,781899455983281,146140991386341.03
0.1,0.1,16113.732091974176,8225871,0,9223372036854775807,8209757.2679080255,2085013638,55600363679.99999,132634774208.97464,781899455983281,137517980872227.97
0.1,0.1,16113.732091974176,8225871,0,9223372036854775807,8209757.2679080255,1845491163,49213097679.99999,-194783095842.688,781899455983281,133240054415213.31
0.1,0.1,16113.732091974176,8225871,0,9223372036854775807,8209757.2679080255,2550173317,68004621786.66666,23388624743.140236,781899455983281,144178890645098.12
0.1,0.1,16113.732091974176,8225871,0,9223372036854775807,8209757.2679080255,2371520521,63240547226.66666,-14585195990.14072,781899455983281,141662330710424.84
0.1,0.1,16113.732091974176,8225871,0,9223372036854775807,8209757.2679080255,1152921504606847232,3.0744573456182587e+19,6.358563622335117e+18,781899455983281,6.359345521791101e+18
0.1,0.1,16113.732091974176,8225871,0,9223372036854775807,8209757.2679080255,1883176424,50218037973.33333,-70573331583.73663,781899455983281,134012084775258.27
0.1,0.1,16113.732091974176,8225871,0,9223372036854775807,8209757.2679080255,2056335750,54835619999.99999,534166193.96286625,781899455983281,136931699143993.97
0.1,0.1,16113.732091974176,8225871,0,9223372036854775807,8209757.2679080255,1571796976,41914586026.666664,32442925129.153408,781899455983281,128417383030660.16
0.1,0.1,16113.732091974176,8225871,0,9223372036854775807,8209757.2679080255,1952544726,52067859359.99999,58206645498.67575,781899455983281,135305189493710.67
0.1,0.1,16113.732091974176,8225871,0,9223372036854775807,8209757.2679080255,2143289549,57154387973.33333,-63362968783.88327,781899455983281,138230920121653.11
0.1,0.1,16113.732091974176,8225871,0,9223372036854775807,8209757.2679080255,2081074001,55495306693.33333,-655309476.646093,781899455983281,137322570590592.36
0.1,0.1,16113.732091974176,8225871,0,9223372036854775807,8209757.2679080255,1600125950,42670025333.33333,193133248.92574328,781899455983281,128939333027437.92
0.1,0.1,16113.732091974176,8225871,0,9223372036854775807,8209757.2679080255,4294975489,114532679706.66666,42390559995.761086,781899455983281,163639950335589.75
0.1,0.1,16113.732091974176,8225871,0,9223372036854775807,8209757.2679080255,1933500023,51560000613.33333,33208737118.76129,781899455983281,134963995785109.77
0.1,0.1,16113.732091974176,8225871,0,9223372036854775807,8209757.2679080255,1977530230,52734139466.66666,-129382317782.99635,781899455983281,135528977897369.0
0.1,0.1,16113.732091974176,8225871,0,9223372036854775807,8209757.2679080255,2064862504,55063000106.66666,77535335020.26282,781899455983281,137144255195508.27
0.1,0.1,16113.732091974176,8225871,0,9223372036854775807,8209757.2679080255,17179869185,458129844933.33325,-370517071970.65094,781899455983281,235870659367540.34
0.1,0.1,16113.732091974176,8225871,0,9223372036854775807,8209757.2679080255,1577058044,42054881173.33333,9262291414.645813,781899455983281,128497661958623.64
0.1,0.1,16113.732091974176,8225871,0,9223372036854775807,8209757.2679080255,4311760897,114980290586.66666,141709153959.75192,781899455983281,163896876174601.75
0.1,0.1,16113.732091974176,8225871,0,9223372036854775807,8209757.2679080255,2148151859,57284049573.33333,139431380653.29474,781899455983281,138508677764063.3
0.1,0.1,16113.732091974176,8225871,0,9223372036854775807,8209757.2679080255,2084885016,55596933759.99999,-234343530107.6073,781899455983281,137148975368207.39
0.1,0.1,16113.732091974176,8225871,0,9223372036854775807,8209757.2679080255,2139154746,57044126559.99999,41410298271.82727,781899455983281,138271832396678.83
0.1,0.1,16113.732091974176,8225871,0,9223372036854775807,8209757.2679080255,137438953473,3665038759279.9995,-296933897825.4343,781899455983281,457846335176401.56
0.1,0.1,16113.732091974176,8225871,0,9223372036854775807,8209757.2679080255,2023961926,53972318026.66666,34844073096.676285,781899455983281,136447424785535.67
0.1,0.1,16113.732091974176,8225871,0,9223372036854775807,8209757.2679080255,2685407233,71610859546.66666,-9668517335.890383,781899455983281,145940114158140.12
0.1,0.1,16113.732091974176,8225871,0,9223372036854775807,8209757.2679080255,1541340912,41102424319.99999,27624435498.042027,781899455983281,127807416567897.05
0.1,0.1,16113.732091974176,8225871,0,9223372036854775807,8209757.2679080255,1543503808,41160101546.666664,25191678132.61165,781899455983281,127848327128984.61
0.1,0.1,16113.732091974176,8225871,0,9223372036854775807,8209757.2679080255,2153791858,57434449546.66666,102445309425.6889,781899455983281,138558471259651.69
0.1,0.1,16113.732091974176,8225871,0,9223372036854775807,8209757.2679080255,2198614075,58629708666.66666,-2512358556.216734,781899455983281,139136698035562.78
0.1,0.1,16113.732091974176,8225871,0,9223372036854775807,8209757.2679080255,2158780676,57567484693.33333,-21196268449.9409,781899455983281,138511458591977.06
0.1,0.1,16113.732091974176,8225871,0,9223372036854775807,8209757.2679080255,2147895521,57277213893.33333,10436676119.665812,781899455983281,138375734912232.67
0.1,0.1,16113.732091974176,8225871,0,9223372036854775807,8209757.2679080255,2021986003,53919626746.66666,-32970552921.41292,781899455983281,136347772442475.6
0.1,0.1,16113.732091974176,8225871,0,9223372036854775807,8209757.2679080255,3221226625,85899376666.66666,85400428911.87207,781899455983281,152563934677155.88
0.1,0.1,16113.732091974176,8225871,0,9223372036854775807,8209757.2679080255,1873736592,49966309119.99999,54725901052.7138,781899455983281,133976108553112.72
0.1,0.1,16113.732091974176,8225871,0,9223372036854775807,8209757.2679080255,2040669724,54417859306.66666,-111149729010.9203,781899455983281,136569783873546.08
0.1,0.1,16113.732091974176,8225871,0,9223372036854775807,8209757.2679080255,34359738369,916259689839.9999,929695827531.3079,781899455983281,293062729274122.3
0.1,0.1,16113.732091974176,8225871,0,9223372036854775807,8209757.2679080255,1910856448,50956171946.66666,-34556120292.667595,781899455983281,134517043592699.33
0.1,0.1,16113.732091974176,8225871,0,9223372036854775807,8209757.2679080255,1739453435,46385424933.33333,59851957210.81479,781899455983281,131613312779054.81
0.1,0.1,16113.732091974176,8225871,0,9223372036854775807,8209757.2679080255,1806565311,48175074959.99999,42566006782.462395,781899455983281,132797208114726.47
0.1,0.1,16113.732091974176,8225871,0,9223372036854775807,8209757.2679080255,3221229761,85899460293.33331,219675494708.81564,781899455983281,152698245574888.8
0.1,0.1,16113.732091974176,8225871,0,9223372036854775807,8209757.2679080255,1860860783,49622954213.33333,-16996484974.438946,781899455983281,133683317345242.56
0.1,0.1,16113.732091974176,8225871,0,9223372036854775807,8209757.2679080255,2208668837,58897835653.33333,31071017269.910603,781899455983281,139321931576986.9
