epsilon,beta,tau,n,min_val,max_val,quantile,clip_thresh,b,noise,actual_sum,estimated_sum
0.1,0.01,9962.530175808057,55500,0,2147483647,45537.46982419194,40669,1084506.6666666665,83970.875484321,1417404433,1366736358.8754842
0.1,0.01,9962.530175808057,55500,0,2147483647,45537.46982419194,40830,1088799.9999999998,-2769962.0898068435,1417404433,1365587946.9101932
0.1,0.01,9962.530175808057,55500,0,2147483647,45537.46982419194,41294,1101173.3333333333,522351.12490164145,1417404433,1373630262.1249015
0.1,0.01,9962.530175808057,55500,0,2147483647,45537.46982419194,41410,1104266.6666666665,-2009565.258089145,1417404433,1372248243.741911
0.1,0.01,9962.530175808057,55500,0,2147483647,45537.46982419194,41452,1105386.6666666665,-65706.23233715232,1417404433,1374605318.7676628
0.1,0.01,9962.530175808057,55500,0,2147483647,45537.46982419194,41134,1096906.6666666665,1212360.852870462,1417404433,1372711135.8528705
0.1,0.01,9962.530175808057,55500,0,2147483647,45537.46982419194,41732,1112853.3333333333,-605425.394270044,1417404433,1376766268.60573
0.1,0.01,9962.530175808057,55500,0,2147483647,45537.46982419194,42112,1122986.6666666665,562299.6028407709,1417404433,1381453253.6028407
0.1,0.01,9962.530175808057,55500,0,2147483647,45537.46982419194,40363,1076346.6666666665,-619946.3590561141,1417404433,1362712261.640944
0.1,0.01,9962.530175808057,55500,0,2147483647,45537.46982419194,43057,1148186.6666666665,811999.0515523033,1417404433,1389781459.0515523
0.1,0.01,9962.530175808057,55500,0,2147483647,45537.46982419194,41434,1104906.6666666665,-1866691.6734042314,1417404433,1372627455.3265958
0.1,0.01,9962.530175808057,55500,0,2147483647,45537.46982419194,40447,1078586.6666666665,-926211.0481451312,1417404433,1363327961.951855
0.1,0.01,9962.530175808057,55500,0,2147483647,45537.46982419194,41801,1114693.3333333333,237951.3626897513,1417404433,1378261158.3626897
0.1,0.01,9962.530175808057,55500,0,2147483647,45537.46982419194,41201,1098693.3333333333,-2091766.3950443752,1417404433,1370084583.6049557
0.1,0.01,9962.530175808057,55500,0,2147483647,45537.46982419194,41494,1106506.6666666665,-54240.358249630764,1417404433,1375027857.6417503
0.1,0.01,9962.530175808057,55500,0,2147483647,45537.46982419194,40958,1092213.3333333333,-291554.41640468757,1417404433,1369401451.5835953
0.1,0.01,9962.530175808057,55500,0,2147483647,45537.46982419194,39935,1064933.3333333333,1027837.287760558,1417404433,1359540581.2877605
0.1,0.01,9962.530175808057,55500,0,2147483647,45537.46982419194,41571,1108559.9999999998,-2210586.5640636333,1417404433,1373619177.4359365
0.1,0.01,9962.530175808057,55500,0,2147483647,45537.46982419194,42120,1123199.9999999998,-661174.9425763816,1417404433,1380302158.0574236
0.1,0.01,9962.530175808057,55500,0,2147483647,45537.46982419194,43010,1146933.3333333333,2870204.857895899,1417404433,1391461465.8578959
0.1,0.01,9962.530175808057,55500,0,2147483647,45537.46982419194,42529,1134106.6666666665,-897846.1511117251,1417404433,1383676968.8488882
0.1,0.01,9962.530175808057,55500,0,2147483647,45537.46982419194,41351,1102693.3333333333,1959569.4660989349,1417404433,1375634079.466099
0.1,0.01,9962.530175808057,55500,0,2147483647,45537.46982419194,41514,1107039.9999999998,2995051.0348431743,1417404433,1378272089.0348432
0.1,0.01,9962.530175808057,55500,0,2147483647,45537.46982419194,40895,1090533.3333333333,702277.922405499,1417404433,1369740419.9224055
0.1,0.01,9962.530175808057,55500,0,2147483647,45537.46982419194,41045,1094533.3333333333,5188.8942901047285,1417404433,1370595168.8942902
0.1,0.01,9962.530175808057,55500,0,2147483647,45537.46982419194,40539,1081039.9999999998,-34556.04576204557,1417404433,1365219984.954238
0.1,0.01,9962.530175808057,55500,0,2147483647,45537.46982419194,41055,1094799.9999999998,1557985.3430655994,1417404433,1372250469.3430655
0.1,0.01,9962.530175808057,55500,0,2147483647,45537.46982419194,41549,1107973.3333333333,-504511.78626776265,1417404433,1375112350.2137322
0.1,0.01,9962.530175808057,55500,0,2147483647,45537.46982419194,41505,1106799.9999999998,2777007.8904319387,1417404433,1377966391.890432
0.1,0.01,9962.530175808057,55500,0,2147483647,45537.46982419194,40920,1091199.9999999998,124939.89408129864,1417404433,1369423464.8940814
0.1,0.01,9962.530175808057,55500,0,2147483647,45537.46982419194,41380,1103466.6666666665,-427281.1490505998,1417404433,1373534354.8509493
0.1,0.01,9962.530175808057,55500,0,2147483647,45537.46982419194,41326,1102026.6666666665,523310.57846400177,1417404433,1373949749.578464
0.1,0.01,9962.530175808057,55500,0,2147483647,45537.46982419194,41117,1096453.3333333333,-664450.5456525411,1417404433,1370661348.4543474
0.1,0.01,9962.530175808057,55500,0,2147483647,45537.46982419194,42080,1122133.3333333333,355844.8759567672,1417404433,1380956605.8759568
0.1,0.01,9962.530175808057,55500,0,2147483647,45537.46982419194,41209,1098906.6666666665,4360337.273333223,1417404433,1376617227.2733333
0.1,0.01,9962.530175808057,55500,0,2147483647,45537.46982419194,41890,1117066.6666666665,839004.7858256248,1417404433,1379693999.7858257
0.1,0.01,9962.530175808057,55500,0,2147483647,45537.46982419194,40799,1087973.3333333333,3412383.288310038,1417404433,1371444060.28831
0.1,0.01,9962.530175808057,55500,0,2147483647,45537.46982419194,39807,1061519.9999999998,962680.3130009529,1417404433,1357994606.313001
0.1,0.01,9962.530175808057,55500,0,2147483647,45537.46982419194,40670,1084533.3333333333,365971.73288627143,1417404433,1367029040.7328863
0.1,0.01,9962.530175808057,55500,0,2147483647,45537.46982419194,41478,1106079.9999999998,-1320039.329112135,1417404433,1373605688.670888
0.1,0.01,9962.530175808057,55500,0,2147483647,45537.46982419194,41569,1108506.6666666665,-3889436.7730871276,1417404433,1371920990.226913
0.1,0.01,9962.530175808057,55500,0,2147483647,45537.46982419194,45056,1201493.3333333333,-1951823.01935298,1417404433,1400714448.980647
0.1,0.01,9962.530175808057,55500,0,2147483647,45537.46982419194,43267,1153786.6666666665,244558.53559872162,1417404433,1390873756.5355988
0.1,0.01,9962.530175808057,55500,0,2147483647,45537.46982419194,41110,1096266.6666666665,-605653.573025177,1417404433,1370648850.4269748
0.1,0.01,9962.530175808057,55500,0,2147483647,45537.46982419194,43009,1146906.6666666665,4108530.9290022175,1417404433,1392691716.9290023
0.1,0.01,9962.530175808057,55500,0,2147483647,45537.46982419194,40830,1088799.9999999998,2572060.017809915,1417404433,1370929969.0178099
0.1,0.01,9962.530175808057,55500,0,2147483647,45537.46982419194,41085,1095599.9999999998,4251677.489442325,1417404433,1375251074.4894423
0.1,0.01,9962.530175808057,55500,0,2147483647,45537.46982419194,40816,1088426.6666666665,-439923.12574898615,1417404433,1367770772.8742511
0.1,0.01,9962.530175808057,55500,0,2147483647,45537.46982419194,42305,1128133.3333333333,-187959.97861685767,1417404433,1382431728.021383
0.1,0.01,9962.530175808057,55500,0,2147483647,45537.46982419194,41310,1101599.9999999998,-745661.2015510667,1417404433,1372521689.798449
0.1,0.01,9962.530175808057,55500,0,2147483647,45537.46982419194,41739,1113039.9999999998,859795.2848572661,1417404433,1378297859.2848573
0.1,0.01,9962.530175808057,55500,0,2147483647,45537.46982419194,42405,1130799.9999999998,6785107.453701678,1417404433,1390283811.4537017
0.1,0.01,9962.530175808057,55500,0,2147483647,45537.46982419194,40943,1091813.3333333333,785261.7980789604,1417404433,1370322732.798079
0.1,0.01,9962.530175808057,55500,0,2147483647,45537.46982419194,41119,1096506.6666666665,-717041.2465394117,1417404433,1370629121.7534606
0.1,0.01,9962.530175808057,55500,0,2147483647,45537.46982419194,41746,1113226.6666666665,-557524.5344650934,1417404433,1376946862.465535
