epsilon,beta,tau,n,min_val,max_val,quantile,clip_thresh,b,noise,actual_sum,estimated_sum
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,99750,1064000.0,1885348.3894707826,772575337.0,565247800.3894708
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,94203,1004832.0,702000.1589698613,772575337.0,541956095.1589699
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,102420,1092480.0,739351.4592102965,772575337.0,574182135.4592103
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,100048,1067178.6666666667,-1575527.1903901475,772575337.0,562955980.8096099
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,98266,1048170.6666666666,-860142.9911572308,772575337.0,556627006.0088428
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,97883,1044085.3333333334,554080.3096096545,772575337.0,556522634.3096097
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,101922,1087168.0,-521432.51698041294,772575337.0,571055345.4830196
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,77557,827274.6666666666,-487321.41462987225,772575337.0,468150771.5853701
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,94888,1012138.6666666666,-1265163.7889775096,772575337.0,542803509.2110225
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,45055,480586.6666666667,112492.85440568872,772575337.0,294475946.8544057
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,99666,1063104.0,607604.1187405392,772575337.0,563637926.1187406
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,101771,1085557.3333333333,-2209202.0575360986,772575337.0,568801778.9424639
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,132096,1409024.0,-1513365.47505822,772575337.0,668334680.5249418
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,109056,1163264.0,1806607.860826489,772575337.0,599585180.8608265
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,112005,1194720.0,814677.5630268968,772575337.0,608875405.5630269
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,107660,1148373.3333333333,479104.48511636356,772575337.0,593208704.4851164
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,99322,1059434.6666666667,3416519.1413849224,772575337.0,565086624.141385
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,98889,1054816.0,-33962.07127478715,772575337.0,559922739.9287252
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,95189,1015349.3333333334,-1218005.1260024274,772575337.0,544061849.8739976
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,99267,1058848.0,-1700025.0179088027,772575337.0,559752554.9820912
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,98640,1052160.0,516007.1305662624,772575337.0,559485922.1305662
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,94313,1006005.3333333334,20998.633188016694,772575337.0,541727193.633188
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,99652,1062954.6666666667,-3192147.8694035443,772575337.0,559782818.1305964
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,102534,1093696.0,187333.82733896142,772575337.0,574057206.8273389
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,81919,873802.6666666666,-781941.7759976268,772575337.0,487799816.22400236
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,85982,917141.3333333334,15748.067768875319,772575337.0,506546258.0677689
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,106920,1140480.0,437184.3185800293,772575337.0,590485764.31858
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,102999,1098656.0,-791181.3277963353,772575337.0,574819657.6722037
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,103488,1103872.0,147827.88118611707,772575337.0,577587320.8811861
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,122880,1310720.0,-295903.5890616921,772575337.0,643116587.4109383
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,81918,873792.0,2207835.5630115597,772575337.0,490785144.5630116
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,96669,1031136.0,1331768.9063552385,772575337.0,552486812.9063553
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,98353,1049098.6666666667,-290406.6012156502,772575337.0,557541697.3987844
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,118816,1267370.6666666667,-362960.17278638756,772575337.0,630550444.8272136
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,100909,1076362.6666666667,-5478875.593584415,772575337.0,562296858.4064156
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,83966,895637.3333333334,204345.49756207276,772575337.0,497887960.49756205
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,99116,1057237.3333333333,-2572176.571199567,772575337.0,558283198.4288005
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,99971,1066357.3333333333,2115651.3298211275,772575337.0,566351495.3298211
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,99622,1062634.6666666667,3580911.0202676845,772575337.0,566437257.0202677
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,91958,980885.3333333334,-747998.0806823866,772575337.0,531276950.9193176
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,81407,868341.3333333334,-1821787.9286395812,772575337.0,484482082.0713604
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,104088,1110272.0,457882.1155250954,772575337.0,580138350.1155251
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,95000,1013333.3333333334,-1873439.5970327912,772575337.0,542655329.4029672
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,81917,873781.3333333334,1785561.3305656712,772575337.0,490358421.3305657
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,98019,1045536.0,-1044636.8984648153,772575337.0,555463157.1015352
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,114960,1226240.0,-1300691.1850432397,772575337.0,616849207.8149568
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,108032,1152341.3333333333,3025363.132733484,772575337.0,597102005.1327335
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,96912,1033728.0,-2648473.2171726096,772575337.0,549470065.7828274
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,114720,1223680.0,1420413.6359725085,772575337.0,618753000.6359725
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,87037,928394.6666666666,-2402732.1703800997,772575337.0,508698037.8296199
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,96339,1027616.0,2072698.450218664,772575337.0,551919292.4502187
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,57343,611658.6666666666,550819.900747364,772575337.0,366735035.90074736
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,77823,830112.0,-627226.1397544012,772575337.0,469253442.8602456
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,108561,1157984.0,2647760.7411324587,772575337.0,598637614.7411325
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,81886,873450.6666666666,-2899942.5567756398,772575337.0,485534998.4432244
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,98806,1053930.6666666667,36811.46340140067,772575337.0,559664584.4634014
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,107524,1146922.6666666667,1419197.396030703,772575337.0,593656069.3960307
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,114720,1223680.0,-2917959.844994333,772575337.0,614414627.1550057
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,98234,1047829.3333333334,-328329.53084482416,772575337.0,557031939.4691552
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,95055,1013920.0,1369590.8336260691,772575337.0,546116929.833626
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,131328,1400832.0,-1930708.816739396,772575337.0,665870332.1832606
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,98814,1054016.0,-4718618.239560981,772575337.0,554940858.760439
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,93915,1001760.0,-505107.8566847775,772575337.0,539565307.1433152
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,88061,939317.3333333334,-619622.1093553712,772575337.0,514916612.8906446
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,96437,1028661.3333333334,757062.462805604,772575337.0,550992226.4628056
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,98464,1050282.6666666667,-273173.1214581196,772575337.0,557999045.8785418
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,97623,1041312.0,821694.4021796222,772575337.0,555759348.4021796
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,96722,1031701.3333333334,-395671.4192697347,772575337.0,550969517.5807303
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,102552,1093888.0,-1890692.5634675869,772575337.0,572046608.4365324
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,80511,858784.0,210337.08743176094,772575337.0,482527903.0874318
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,85983,917152.0,-799045.5278708908,772575337.0,505735796.4721291
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,106819,1139402.6666666667,21496.42547107628,772575337.0,589704153.4254711
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,99320,1059413.3333333333,274437.0635063532,772575337.0,561936632.0635064
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,98558,1051285.3333333333,-2852.316817850618,772575337.0,558642076.6831821
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,81855,873120.0,257438.38751314982,772575337.0,488554460.38751316
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,108167,1153781.3333333333,405617.33130485413,772575337.0,594970824.3313049
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,81910,873706.6666666666,-1351012.2495509144,772575337.0,487190704.75044906
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,108550,1157866.6666666667,-1503915.6847307466,772575337.0,594446173.3152692
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,122896,1310890.6666666667,-98174.85433875925,772575337.0,643361932.1456612
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,88568,944725.3333333334,2087408.5781332771,772575337.0,519818905.5781333
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,99474,1061056.0,1305589.9601536703,772575337.0,563576743.9601537
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,87007,928074.6666666666,-210581.25716045164,772575337.0,510760228.7428396
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,80885,862773.3333333334,203174.16388039308,772575337.0,484184666.1638804
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,96361,1027850.6666666666,1363642.8423301505,772575337.0,551297466.8423301
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,91595,977013.3333333334,-143809.74663379102,772575337.0,530381278.25336623
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,99358,1059818.6666666667,2445468.7921270635,772575337.0,564257953.792127
0.25,0.01,3985.0120703232233,6699,0,2147483647,2713.9879296767767,65535,699040.0,652066.350105966,772575337.0,410449366.35010594
